"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031644","GO:0031644","regulation of nervous system process","27/2016","125/18860",0.216,2.02071428571429,3.96108652081006,0.000274465520678098,0.00291317802199087,0.00204831208760807,"TMEM98/IGF1/TYMP/CST7/ABCB1/SOX10/CELF4/CBLN1/GRIN2D/STX1A/RGS4/ITGAX/NLGN4X/TENM4/JAM2/GRIA1/TMEM100/NLGN1/GPR171/NRXN1/NCMAP/NPY2R/PRKN/RELN/NLGN3/TNF/CCL3",27
"GO:0019724","GO:0019724","B cell mediated immunity","39/2016","206/18860",0.189320388349515,1.771122283865,3.8499301959064,0.000279060396280722,0.00295663989751188,0.00207887097700919,"CD74/FOXP3/BCL3/TFRC/TBX21/PTPRC/TREM2/IL2RB/SLA2/TLR8/TGFB1/HPX/TCIRG1/PTPN6/TNFSF4/C4BPA/IL9R/FCGR2A/FCGR1A/CD226/FCER1G/FCMR/INPP5D/EXO1/ATAD5/IRF7/FCGR3A/IGHA2/IGHA1/IGHG1/IGHG3/IGHV1-3/IGHV1-24/IGHV4-34/LTA/TNF/IGHV3-30/IGHV3-64D/FCGR1BP",39
"GO:0045807","GO:0045807","positive regulation of endocytosis","33/2016","165/18860",0.2,1.87103174603175,3.88772197074568,0.000284710854555373,0.00301111014692551,0.00211717006805229,"SELE/SLC11A1/PTPRC/SIRPG/TF/TREM2/IL2RB/PYCARD/CLIP3/TFR2/SERPINE1/NCKAP1L/GPR18/CCR7/APOE/PPT1/DOCK2/CCL21/EGF/FCGR2A/IL2RG/GPC3/PTPRJ/DRD2/FCGR1A/FCER1G/TUB/RAB31/NLGN1/CLEC7A/NTF3/CD300LF/FCGR1BP",33
"GO:0050995","GO:0050995","negative regulation of lipid catabolic process","10/2016","27/18860",0.37037037037037,3.46487360376249,4.43403136284577,0.000289422929553149,0.00305547921342539,0.00214836682106276,"ACACB/PIK3CG/GPLD1/IL1B/APOC1/ADRA2A/CIDEA/CIDEC/HCAR1/TNF",10
"GO:0048568","GO:0048568","embryonic organ development","75/2016","472/18860",0.158898305084746,1.48651886602098,3.70327032730495,0.000292047390097554,0.00306935188269275,0.00215812096445297,"ALX4/COL11A1/CASP8/FGF10/VASH1/HOXA9/TBX15/SIX4/TGFB1/DLX5/HOXA2/HOXA3/HOXA5/TGFBR1/CDH23/NKX3-2/FOLR1/SOBP/MDFI/TBX18/SPARC/HYAL1/OTX1/TPO/MFAP2/HOXA7/HOXC11/STIL/RUNX2/SIX1/ALDH1A2/E2F8/CDKN1C/EPHB2/MICAL2/SPRY2/TUBB2B/RBP4/LEF1/COL2A1/LRIG3/PLK4/OSR1/EDNRA/ZIC1/MMP14/KIT/TAL1/VANGL2/FLVCR1/FRZB/EOMES/HAND2/TBX20/SOX17/CTHRC1/STOX1/E2F7/IGF2/CXCL8/SIX2/JUNB/CHST11/TPRN/SOX11/NECTIN3/NKX2-5/SOCS3/HMX3/PAX5/HOXA4/PLXNA4/TNF/TIFAB/GJA5",75
"GO:0060349","GO:0060349","bone morphogenesis","23/2016","100/18860",0.23,2.15168650793651,3.99484413979045,0.000292294504390396,0.00306935188269275,0.00215812096445297,"LTF/TGFB1/COMP/DLX5/COL1A1/MSX2/RUNX2/MMP13/COL2A1/SERPINH1/FGF18/MMP14/NPR2/CBS/LOC102724560/ALPL/POC1A/FREM1/COL3A1/THBS3/HAS2/TIFAB/SCX",23
"GO:0061515","GO:0061515","myeloid cell development","23/2016","100/18860",0.23,2.15168650793651,3.99484413979045,0.000292294504390396,0.00306935188269275,0.00215812096445297,"SLC4A1/LTF/CLDN18/ATP6AP1/LILRB1/PTPN6/GPR68/NCKAP1L/RAC2/TLR2/DIAPH3/MEIS1/HEATR3/KIT/ALAS2/DMTN/TAL1/FLVCR1/GP1BA/EVI2B/HBA2/HBA1/HBB",23
"GO:1901888","GO:1901888","regulation of cell junction assembly","50/2016","285/18860",0.175438596491228,1.64125591757171,3.77373484901136,0.000296168155665493,0.0031045144260539,0.00218284443210719,"ARHGAP33/MYOC/ARHGAP6/LIMCH1/CRMP1/GPC4/ARHGAP4/CRTAC1/SIX4/SYNDIG1/CBLN1/IL1B/SIX1/LRRC4B/EPHB2/LRP4/ADGRB3/DOCK10/TLR2/THBS1/CBLN2/NLGN4X/NTRK2/PTPRJ/GRID2/THY1/EPHB1/MMP14/ARMCX5-GPRASP2/DMTN/SLITRK5/LRFN5/FAM107A/IL1RAPL1/NLGN1/HOPX/LRRC15/CFL1/LRRN3/IRX3/NECTIN3/RCC2/NRXN1/CLDN5/FLRT2/THBS2/AGRN/APOD/NLGN3/TNF",50
"GO:0001508","GO:0001508","action potential","35/2016","179/18860",0.195530726256983,1.82922098075729,3.85637017171361,0.000298027809238259,0.00311847859861343,0.00219266291324059,"SCN4A/ATP1A2/KCNK2/NOS1/KCNA1/TBX18/KCNIP2/KCNJ5/ADRA1A/SCN7A/ATP1B1/SCN1A/ANK2/USP53/NTRK2/SCN2B/SCN3A/GRIA1/NPR2/GPER1/SCN3B/KCNK3/KCND3/GPR88/KCNA4/CACNB4/SLC8A1/KCNQ3/GPRIN3/SCN8A/KCNMB2/NOS1AP/DMD/TNF/GJA5",35
"GO:0050878","GO:0050878","regulation of body fluid levels","64/2016","389/18860",0.16452442159383,1.53915207899784,3.71725931558704,0.000304528122498873,0.00318086618412251,0.00223652883717324,"CFTR/SLC4A1/PLAUR/FGF10/ACTB/CAD/ABCB1/ANGPT4/COMP/TFPI2/PIK3CG/SERPINE1/OAS2/PTPN6/FN1/PLEK/ANGPTL1/SOCS2/PLAU/F10/AVPR2/F2RL3/ADORA2A/CDO1/PRRG3/APOE/F12/EPHB2/EDNRB/THBS1/MMRN1/PTPRJ/DRD2/FERMT3/ADRA2A/FCER1G/CSRP1/HK2/SVEP1/AQP3/SERPINF2/COL3A1/P2RY12/NPR1/HAS2/FGG/ANGPTL7/HPSE/SAA1/HSD11B2/OXTR/LCK/GP1BA/CYP4F12/CYP4A11/PEAR1/MT-CO2/F5/NME1/AQP1/HBB/TIFAB/GJA5/ADRA2B",64
"GO:1902476","GO:1902476","chloride transmembrane transport","25/2016","113/18860",0.221238938053097,2.06972538277848,3.94573224375399,0.000309157732015859,0.00320336080948276,0.00225234524546817,"CFTR/SLC4A1/CLCA4/PACC1/ANO8/SLC1A3/KCNK2/APOL1/SLC6A2/SLC17A7/SLC12A7/ANO3/KCNK1/TTYH3/GLRA3/SLC12A9/ANO4/GABRA2/SLC25A27/SLC4A2/TTYH1/SLC26A5/GABRD/SLC12A8/FXYD1",25
"GO:0001773","GO:0001773","myeloid dendritic cell activation","11/2016","32/18860",0.34375,3.21583581349206,4.34002718147744,0.000309390903622236,0.00320336080948276,0.00225234524546817,"SPI1/DHRS2/PYCARD/CD37/TGFB1/CD2/DOCK2/HAVCR2/CAMK4/DCSTAMP/UBD",11
"GO:0002438","GO:0002438","acute inflammatory response to antigenic stimulus","11/2016","32/18860",0.34375,3.21583581349206,4.34002718147744,0.000309390903622236,0.00320336080948276,0.00225234524546817,"CD6/CCR7/FCGR2A/FCGR1A/FCER1G/NPY5R/FUT7/SPN/FCGR3A/IGHG1/FCGR1BP",11
"GO:0043373","GO:0043373","CD4-positive, alpha-beta T cell lineage commitment","11/2016","32/18860",0.34375,3.21583581349206,4.34002718147744,0.000309390903622236,0.00320336080948276,0.00225234524546817,"FOXP3/TBX21/IL12RB1/JAK3/CD69/IL12B/TNFSF18/LY9/SLAMF6/SOCS3/SPN",11
"GO:0045742","GO:0045742","positive regulation of epidermal growth factor receptor signaling pathway","11/2016","32/18860",0.34375,3.21583581349206,4.34002718147744,0.000309390903622236,0.00320336080948276,0.00225234524546817,"PLAUR/MMP9/PTK6/TGFB1/PLAU/SPRY2/ADRA2A/GPER1/AFAP1L2/ANTXR1/NUP62",11
