,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj,significant,symbol
ENSG00000077152.12,112.5993792,3.044372688,0.378470821,8.043876886,8.70E-16,4.62E-13,12.33527196,TRUE,UBE2T
ENSG00000105011.9,305.9569446,2.972495123,0.37058072,8.021181259,1.05E-15,5.34E-13,12.27263572,TRUE,ASF1B
ENSG00000138755.6,3636.562349,4.99728778,0.622963062,8.02180431,1.04E-15,5.34E-13,12.27263572,TRUE,CXCL9
ENSG00000092853.14,517.8443284,3.732073732,0.466161221,8.005972102,1.19E-15,5.92E-13,12.22750381,TRUE,CLSPN
ENSG00000258947.8,668.9214671,3.969699334,0.501190067,7.920546711,2.36E-15,1.16E-12,11.93597946,TRUE,TUBB3
ENSG00000162849.16,1429.822255,3.343981641,0.422416997,7.91630465,2.45E-15,1.18E-12,11.92943807,TRUE,KIF26B
ENSG00000049768.18,96.06829057,3.377199843,0.427091931,7.907430683,2.63E-15,1.24E-12,11.90659164,TRUE,FOXP3
ENSG00000122641.11,2879.656232,4.020015862,0.50976522,7.886014392,3.12E-15,1.43E-12,11.84565137,TRUE,INHBA
ENSG00000157542.11,52.86485092,5.190233075,0.658208146,7.885397818,3.14E-15,1.43E-12,11.84565137,TRUE,KCNJ6
ENSG00000169607.13,252.97105,3.902952522,0.495725509,7.873212997,3.46E-15,1.55E-12,11.81099095,TRUE,CKAP2L
ENSG00000138722.10,1360.124782,-2.869713622,0.368935609,-7.778359024,7.35E-15,3.23E-12,11.49105963,TRUE,MMRN1
ENSG00000172965.17,2121.808536,1.938407339,0.249514953,7.768702085,7.93E-15,3.42E-12,11.46535883,TRUE,MIR4435-2HG
ENSG00000117724.15,2185.306893,3.225965763,0.416131425,7.752276247,9.03E-15,3.83E-12,11.41640648,TRUE,CENPF
ENSG00000155886.12,295.3561506,4.780474737,0.61689658,7.749232029,9.24E-15,3.86E-12,11.41317258,TRUE,SLC24A2
ENSG00000177363.5,329.3032776,-2.922146745,0.379456314,-7.700877905,1.35E-14,5.55E-12,11.25537469,TRUE,LRRN4CL
ENSG00000174371.17,235.3750742,3.627528305,0.471704164,7.690261359,1.47E-14,5.94E-12,11.2262611,TRUE,EXO1
ENSG00000286289.1,164.3339119,-2.18150109,0.283841508,-7.685631003,1.52E-14,6.06E-12,11.21738716,TRUE,LOC107984270
ENSG00000066279.19,1132.782562,3.566282754,0.465901774,7.654580758,1.94E-14,7.54E-12,11.12247308,TRUE,ASPM
ENSG00000140853.17,1655.54194,1.785546721,0.233293482,7.65365028,1.95E-14,7.54E-12,11.12247308,TRUE,NLRC5
ENSG00000111799.22,38732.69546,2.280428128,0.300606776,7.586083588,3.30E-14,1.25E-11,10.90167927,TRUE,COL12A1
ENSG00000077264.17,511.4356045,-2.853061694,0.381554536,-7.477467637,7.58E-14,2.84E-11,10.54677014,TRUE,PAK3
ENSG00000064692.20,268.482811,-2.21433404,0.296518722,-7.467771428,8.16E-14,2.97E-11,10.52710659,TRUE,SNCAIP
ENSG00000122861.16,2490.682342,2.681673069,0.359103016,7.46769855,8.16E-14,2.97E-11,10.52710659,TRUE,PLAU
ENSG00000161055.4,361.3329639,-6.03486018,0.808562615,-7.46368935,8.41E-14,3.02E-11,10.52004231,TRUE,SCGB3A1
ENSG00000166257.10,127.6850289,-2.696871091,0.361756926,-7.454925931,8.99E-14,3.18E-11,10.4972337,TRUE,SCN3B
ENSG00000277494.2,278.9249429,-2.829602461,0.381611059,-7.414885907,1.22E-13,4.25E-11,10.37167628,TRUE,GPIHBP1
ENSG00000183856.11,561.5503604,3.097951357,0.420080297,7.374664755,1.65E-13,5.67E-11,10.24613172,TRUE,IQGAP3
ENSG00000279518.1,81.61070771,-3.888337352,0.528454824,-7.357937092,1.87E-13,6.35E-11,10.19749424,TRUE,NA
ENSG00000160161.9,250.8143189,3.386665571,0.461221314,7.342821039,2.09E-13,7.01E-11,10.1541299,TRUE,CILP2
ENSG00000086717.19,136.2931303,4.010155383,0.547330184,7.326757229,2.36E-13,7.80E-11,10.10771775,TRUE,PPEF1
ENSG00000171517.6,117.0757821,-3.039386506,0.416346146,-7.300143255,2.87E-13,9.39E-11,10.02726436,TRUE,LPAR3
ENSG00000138738.11,502.6699656,-1.796505487,0.246345732,-7.292618679,3.04E-13,9.81E-11,10.0085207,TRUE,PRDM5
ENSG00000101412.13,180.4182673,2.505509987,0.344332846,7.276418786,3.43E-13,1.09E-10,9.961800745,TRUE,E2F1
ENSG00000187037.9,240.9537502,2.839363483,0.392001128,7.243253357,4.38E-13,1.38E-10,9.860713262,TRUE,GPR141
ENSG00000185432.12,5825.890474,-1.837145041,0.254264833,-7.225321003,5.00E-13,1.55E-10,9.808663178,TRUE,TMT1A
ENSG00000244734.4,3109.904429,-3.055481072,0.423054212,-7.22243388,5.11E-13,1.57E-10,9.804702197,TRUE,HBB
ENSG00000141526.18,718.9948706,3.35638088,0.465629632,7.20826307,5.67E-13,1.72E-10,9.764674992,TRUE,SLC16A3
ENSG00000122756.15,129.5189661,-5.169354369,0.71831942,-7.196456375,6.18E-13,1.85E-10,9.73219713,TRUE,CNTFR
ENSG00000263155.7,480.9047206,-2.635919538,0.368151845,-7.159870513,8.08E-13,2.39E-10,9.621087612,TRUE,MYZAP
ENSG00000165304.8,293.0101635,3.714814497,0.519654238,7.148627342,8.76E-13,2.57E-10,9.590517183,TRUE,MELK
ENSG00000188536.13,840.0742647,-3.13803569,0.439412023,-7.141442485,9.24E-13,2.67E-10,9.572764562,TRUE,HBA2
ENSG00000176887.7,201.6931516,3.610605428,0.50784483,7.109662662,1.16E-12,3.33E-10,9.477459193,TRUE,SOX11
ENSG00000135094.11,306.582486,4.998668831,0.706829293,7.071960492,1.53E-12,4.33E-10,9.363982537,TRUE,SDS
ENSG00000144057.16,819.9750278,2.671510959,0.377875082,7.069825677,1.55E-12,4.34E-10,9.362099391,TRUE,ST6GAL2
ENSG00000137573.14,8773.896781,3.199367001,0.453279495,7.058265454,1.69E-12,4.62E-10,9.335390887,TRUE,SULF1
ENSG00000266524.3,140.7293293,-3.60987529,0.511372979,-7.059182712,1.67E-12,4.62E-10,9.335390887,TRUE,GDF10
ENSG00000169550.14,457.5098501,-5.134088003,0.729365044,-7.039119913,1.93E-12,5.24E-10,9.280290985,TRUE,MUC15
ENSG00000276043.5,580.2994225,3.645271882,0.519803025,7.012794661,2.34E-12,6.27E-10,9.202992439,TRUE,UHRF1
ENSG00000197299.13,262.1542982,2.152940175,0.307786646,6.994910934,2.65E-12,7.05E-10,9.152074773,TRUE,BLM
ENSG00000117586.12,247.5504506,2.193556599,0.314081446,6.984037502,2.87E-12,7.53E-10,9.122918641,TRUE,TNFSF4
ENSG00000248144.6,318.4178176,-4.045659283,0.581402456,-6.958448901,3.44E-12,8.95E-10,9.048367237,TRUE,ADH1C
ENSG00000140525.20,1061.953838,1.654595553,0.237896624,6.955103122,3.52E-12,9.07E-10,9.042466774,TRUE,FANCI
ENSG00000189057.11,467.5996488,2.751341124,0.396237371,6.943668939,3.82E-12,9.74E-10,9.011634657,TRUE,FAM111B
ENSG00000163600.13,131.0524143,3.142851269,0.452819577,6.940625866,3.90E-12,9.85E-10,9.006598175,TRUE,ICOS
ENSG00000169679.15,529.303146,3.454982718,0.497917858,6.938860821,3.95E-12,9.88E-10,9.005451032,TRUE,BUB1
ENSG00000027869.12,87.96567505,2.511566549,0.362118674,6.935755406,4.04E-12,1.00E-09,9.000144921,TRUE,SH2D2A
ENSG00000100003.18,1939.288139,-2.80444683,0.405176496,-6.921543719,4.47E-12,1.09E-09,8.960719959,TRUE,SEC14L2
ENSG00000136842.14,281.8453378,-2.536388603,0.367882475,-6.894562199,5.40E-12,1.31E-09,8.88229621,TRUE,TMOD1
ENSG00000121594.12,263.1693557,4.007154426,0.584569601,6.854879931,7.14E-12,1.72E-09,8.765524767,TRUE,CD80
ENSG00000174680.10,115.5606142,-3.604515673,0.526406132,-6.847404412,7.52E-12,1.79E-09,8.74690437,TRUE,NA
ENSG00000107742.14,827.04184,1.827566348,0.267572488,6.830172862,8.48E-12,2.00E-09,8.698713984,TRUE,SPOCK2
ENSG00000137812.21,654.9467014,2.346544146,0.345256587,6.796522453,1.07E-11,2.51E-09,8.601084036,TRUE,KNL1
ENSG00000120833.14,1094.396715,-2.29299345,0.339067165,-6.762652609,1.35E-11,3.14E-09,8.503241811,TRUE,SOCS2
ENSG00000121152.10,247.6258716,3.262910275,0.484037792,6.741023797,1.57E-11,3.61E-09,8.442414268,TRUE,NCAPH
ENSG00000069702.11,4275.4185,-2.86550658,0.4254659,-6.734985294,1.64E-11,3.73E-09,8.428265276,TRUE,TGFBR3
ENSG00000184937.16,45.07891059,5.465112409,0.811785626,6.732211352,1.67E-11,3.77E-09,8.423841909,TRUE,WT1
ENSG00000106018.14,133.200845,-2.396238008,0.356889025,-6.714238429,1.89E-11,4.23E-09,8.374075385,TRUE,VIPR2
ENSG00000076382.17,752.8264158,3.323652579,0.497222918,6.684431588,2.32E-11,5.14E-09,8.289291391,TRUE,SPAG5
ENSG00000137727.13,567.6082925,-2.258104987,0.337938362,-6.682002519,2.36E-11,5.18E-09,8.285849742,TRUE,ARHGAP20
