,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj,significant,symbol
ENSG00000236790.7,71.06906996,1.601700196,0.527729689,3.035076916,0.002404744,0.02628918,1.580222957,TRUE,LINC00298
ENSG00000213390.11,1193.257148,-0.88847728,0.292871211,-3.033679127,0.002415912,0.026388639,1.578583004,FALSE,ARHGAP19
ENSG00000279204.1,88.75927961,-1.368967778,0.451244015,-3.033763846,0.002415234,0.026388639,1.578583004,TRUE,NA
ENSG00000086300.17,731.5770961,1.140032286,0.375853584,3.033181898,0.002419897,0.026420836,1.578053438,TRUE,SNX10
ENSG00000110700.7,6422.614323,-0.811604742,0.26764372,-3.032407198,0.002426117,0.026466068,1.577310573,FALSE,RPS13
ENSG00000163545.11,213.1983794,1.084244327,0.357543588,3.03248153,0.002425519,0.026466068,1.577310573,TRUE,NUAK2
ENSG00000108381.11,150.2624207,-2.586770725,0.853214805,-3.031793062,0.002431058,0.026504801,1.576675454,TRUE,ASPA
ENSG00000122515.16,2057.719485,1.172114034,0.38661845,3.031707447,0.002431748,0.026504801,1.576675454,TRUE,ZMIZ2
ENSG00000100146.20,1047.209138,-3.462368995,1.14229331,-3.03106826,0.002436901,0.02654962,1.575941693,TRUE,SOX10
ENSG00000162063.13,450.2366286,1.46074292,0.482010545,3.03052067,0.002441325,0.026586444,1.575339748,TRUE,CCNF
ENSG00000120280.6,229.2519683,1.841811409,0.607791274,3.030335392,0.002442823,0.026591397,1.575258852,TRUE,TASL
ENSG00000128340.16,794.6198498,1.049522013,0.346359077,3.030155941,0.002444275,0.026595841,1.57518627,TRUE,RAC2
ENSG00000291234.1,64.91553473,1.490809696,0.492079464,3.029611688,0.002448683,0.026632437,1.574589087,TRUE,NA
ENSG00000164983.9,1762.575795,0.863183912,0.285036435,3.028328332,0.002459107,0.026723626,1.573104617,FALSE,TMEM65
ENSG00000257702.5,268.4627122,1.006507051,0.332364688,3.028321261,0.002459165,0.026723626,1.573104617,TRUE,LBX2-AS1
ENSG00000153563.17,496.9843244,1.303973434,0.430653918,3.027891721,0.002462663,0.026750232,1.57267245,TRUE,CD8A
ENSG00000223855.4,24.11068865,-2.619493838,0.8653171,-3.027206832,0.00246825,0.026799496,1.571873377,TRUE,PDGFA-DT
ENSG00000077984.6,140.0864179,1.845547199,0.609726351,3.026845068,0.002471206,0.026820161,1.571538616,TRUE,CST7
ENSG00000160801.14,130.4264553,-1.38229201,0.456703086,-3.026675431,0.002472593,0.026823792,1.571479834,TRUE,PTH1R
ENSG00000227482.1,9.869253733,3.86573226,1.277769767,3.025374649,0.002483253,0.026927975,1.569796312,TRUE,NA
ENSG00000176619.13,1493.582455,1.741422321,0.575771614,3.024501864,0.002490429,0.026994305,1.568727846,TRUE,LMNB2
ENSG00000204394.13,1766.703381,1.04264671,0.344801505,3.023904176,0.002495355,0.027036191,1.56805449,TRUE,VARS1
ENSG00000030582.19,9925.648878,1.460692373,0.483145555,3.023296722,0.002500369,0.027067509,1.567551715,TRUE,GRN
ENSG00000138684.9,5.051633665,5.790427873,1.915239388,3.023344188,0.002499977,0.027067509,1.567551715,TRUE,IL21
ENSG00000227354.7,174.3373683,-1.397379984,0.462268585,-3.022874645,0.002503859,0.027093779,1.567130422,TRUE,RBM26-AS1
ENSG00000196666.6,21.1177082,-2.95542663,0.978013248,-3.021867684,0.002512203,0.027172529,1.565869944,TRUE,FAM180B
ENSG00000100814.19,742.5608694,-0.89688703,0.296852532,-3.021321817,0.002516737,0.027210018,1.565271166,FALSE,CCNB1IP1
ENSG00000178719.17,3390.341096,1.025921408,0.339642487,3.020592084,0.00252281,0.027264106,1.564408732,TRUE,GRINA
ENSG00000166483.12,2258.540562,-1.061125674,0.351332567,-3.020288388,0.002525341,0.027279892,1.564157346,TRUE,WEE1
ENSG00000245812.5,201.8511411,-0.886181933,0.293467839,-3.019690115,0.002530334,0.02732225,1.563483544,FALSE,LINC02202
ENSG00000170873.19,2028.800942,1.060161302,0.351136808,3.019225777,0.002534216,0.027352573,1.563001811,TRUE,MTSS1
ENSG00000066336.13,519.6470712,1.954593826,0.647543761,3.018473721,0.002540514,0.027402101,1.562216132,TRUE,SPI1
ENSG00000106268.16,109.2271025,1.379456923,0.457012745,3.018421125,0.002540955,0.027402101,1.562216132,TRUE,NUDT1
ENSG00000188322.8,317.1847061,1.531643347,0.507541164,3.017771672,0.002546407,0.027449275,1.561469127,TRUE,SBK1
ENSG00000115241.11,1977.234103,0.919763872,0.304817412,3.017425635,0.002549316,0.027469013,1.56115695,FALSE,PPM1G
ENSG00000136169.17,973.9522877,-0.731649936,0.242504165,-3.017061317,0.002552382,0.027478811,1.561002069,FALSE,SETDB2
ENSG00000187531.14,371.3763145,0.865351354,0.28681848,3.017069728,0.002552311,0.027478811,1.561002069,FALSE,SIRT7
ENSG00000028277.22,215.7774507,1.229477909,0.407546791,3.016777303,0.002554774,0.027482847,1.560938276,TRUE,POU2F2
ENSG00000102230.14,78.18000794,-1.51363453,0.501741653,-3.01676076,0.002554914,0.027482847,1.560938276,TRUE,PCYT1B
ENSG00000280219.1,261.086153,1.404768694,0.465768504,3.016023373,0.002561135,0.027538147,1.560065292,TRUE,NA
ENSG00000106105.15,3305.231487,1.294029133,0.429259735,3.014559784,0.002573525,0.027659694,1.558152632,TRUE,GARS1
ENSG00000162494.6,9.238032974,-4.063323826,1.347961638,-3.01442097,0.002574703,0.027660688,1.558137025,TRUE,LRRC38
ENSG00000164941.14,2038.143524,0.750384846,0.248954057,3.014149896,0.002577004,0.027662092,1.558114986,FALSE,INTS8
ENSG00000171195.11,18.17741206,-4.845359742,1.607533847,-3.014157213,0.002576942,0.027662092,1.558114986,TRUE,MUC7
ENSG00000259571.2,13.86249834,-2.861741941,0.950020121,-3.012296138,0.002592795,0.027819874,1.555644842,TRUE,BLID
ENSG00000112562.20,3370.428913,-0.923199223,0.306566174,-3.011419074,0.002600297,0.027888624,1.55457292,FALSE,SMOC2
ENSG00000173193.15,9416.999059,1.10423069,0.366745838,3.01088813,0.002604848,0.02792568,1.553996238,TRUE,PARP14
ENSG00000197930.13,2639.57434,1.047095758,0.347802367,3.010605614,0.002607273,0.027939919,1.55377486,TRUE,ERO1A
ENSG00000163518.11,5.900812011,6.004015108,1.994839572,3.009773414,0.002614426,0.027975794,1.553217577,TRUE,FCRL4
ENSG00000181322.15,6.167611308,-3.560785448,1.183094011,-3.009723162,0.002614859,0.027975794,1.553217577,TRUE,NME9
ENSG00000183876.9,81.40388675,1.73318466,0.575865212,3.009705438,0.002615012,0.027975794,1.553217577,TRUE,ARSI
ENSG00000196074.13,1118.272539,1.514544003,0.503191431,3.009876382,0.00261354,0.027975794,1.553217577,TRUE,SYCP2
ENSG00000236501.6,42.9625557,-1.897142954,0.630537406,-3.008771466,0.002623063,0.028050158,1.552064691,TRUE,NA
ENSG00000268941.2,9.690095051,3.137261372,1.04282689,3.008420095,0.002626098,0.028070834,1.551744686,TRUE,LINC01711
ENSG00000054277.14,606.155985,1.052909349,0.350014612,3.008186835,0.002628115,0.028080611,1.551593446,TRUE,OPN3
ENSG00000103855.18,3042.685384,1.0387505,0.345416087,3.007244131,0.00263628,0.02815604,1.550428428,TRUE,CD276
ENSG00000075790.12,1690.698236,0.875448562,0.291138953,3.006978465,0.002638585,0.028157056,1.550412754,FALSE,BCAP29
ENSG00000280385.1,9.147748848,-3.287590601,1.093289026,-3.007064483,0.002637838,0.028157056,1.550412754,TRUE,NA
ENSG00000167754.13,554.8983916,-3.590250756,1.194209426,-3.006382864,0.002643759,0.028200464,1.549743748,TRUE,KLK5
ENSG00000171476.23,330.9044027,1.359739483,0.452455194,3.005246712,0.002653655,0.028286353,1.548423049,TRUE,HOPX
ENSG00000284194.3,150.4006954,1.197290831,0.398405889,3.005203645,0.002654031,0.028286353,1.548423049,TRUE,SCO2
ENSG00000126246.10,142.7598835,1.957259591,0.651320649,3.005063012,0.002655258,0.028287604,1.548403838,TRUE,IGFLR1
ENSG00000129158.11,412.5325589,-0.793243487,0.264181496,-3.002645904,0.002676436,0.028477507,1.545498031,FALSE,SERGEF
ENSG00000135426.16,213.5053153,1.170783676,0.389912555,3.002682679,0.002676113,0.028477507,1.545498031,TRUE,TESPA1
ENSG00000137261.15,25.2444329,3.181181466,1.059370558,3.002897751,0.002674223,0.028477507,1.545498031,TRUE,KIAA0319
ENSG00000158402.21,60.81438247,1.904027093,0.634172171,3.002381972,0.002678758,0.02847843,1.545483956,TRUE,CDC25C
ENSG00000267886.1,46.15403005,1.532408427,0.510377874,3.002497765,0.002677739,0.02847843,1.545483956,TRUE,NA
ENSG00000165716.11,118.9530671,-0.907606595,0.302467281,-3.000676937,0.002693802,0.028614488,1.543414025,FALSE,DIPK1B
ENSG00000182853.12,38.75809222,2.445806171,0.815073419,3.00071885,0.002693431,0.028614488,1.543414025,TRUE,VMO1
ENSG00000111961.19,3957.654055,-1.10188293,0.367259426,-3.00028495,0.002697271,0.028639403,1.543036035,TRUE,SASH1
ENSG00000160683.5,24.46369344,2.106407377,0.702198817,2.99973074,0.002702184,0.028667671,1.542607584,TRUE,CXCR5
ENSG00000250067.12,66.75349115,1.95098223,0.650369255,2.999806979,0.002701507,0.028667671,1.542607584,TRUE,YJEFN3
ENSG00000130066.17,4670.565424,0.847081431,0.282406453,2.999511595,0.002704128,0.028676364,1.542475922,FALSE,SAT1
ENSG00000099204.22,6494.670006,-1.284440768,0.428489337,-2.997602643,0.002721122,0.028844573,1.539935881,TRUE,ABLIM1
ENSG00000289203.1,44.17753077,-1.735074217,0.578901037,-2.997186233,0.002724842,0.028871995,1.539523206,TRUE,NA
ENSG00000173267.14,383.7416366,-1.638352935,0.546747057,-2.99654642,0.002730567,0.028920627,1.538792292,TRUE,SNCG
ENSG00000163359.17,87503.87331,1.760329141,0.587487534,2.996368499,0.00273216,0.028925486,1.538719329,TRUE,COL6A3
ENSG00000244270.1,73.89504529,-1.386593393,0.462785894,-2.996187678,0.002733781,0.028930626,1.538642173,TRUE,RPL32P29
ENSG00000163633.12,23.31378037,-1.875523949,0.626108541,-2.995525259,0.002739726,0.028981503,1.5378791,TRUE,C4orf36
ENSG00000196693.15,1676.871234,-0.955724166,0.319171178,-2.994393705,0.002749909,0.029077145,1.536448239,FALSE,ZNF33B
ENSG00000293264.1,20.53788792,3.115204061,1.040423711,2.994168653,0.002751938,0.029086533,1.53630804,TRUE,ACTG1P25
ENSG00000071073.13,5228.133511,1.353820121,0.452199,2.993859168,0.002754731,0.029098827,1.536124514,TRUE,MGAT4A
ENSG00000272068.1,29.79657199,-2.222181571,0.742264488,-2.993786725,0.002755385,0.029098827,1.536124514,TRUE,NA
ENSG00000204687.4,15.75764384,-3.079463217,1.028775957,-2.993327357,0.002759536,0.029118531,1.535830541,TRUE,MAS1L
ENSG00000291186.1,297.6002423,0.737463499,0.246363231,2.993399201,0.002758886,0.029118531,1.535830541,FALSE,NA
ENSG00000137216.19,1175.981515,0.856572777,0.286185651,2.993066821,0.002761893,0.029131338,1.535639571,FALSE,TMEM63B
ENSG00000109084.14,1156.994698,2.444317361,0.816812277,2.992508107,0.002766953,0.029172639,1.535024286,TRUE,TMEM97
ENSG00000289233.1,5.208195819,-4.765738205,1.592690987,-2.992255398,0.002769245,0.029184725,1.534844388,TRUE,NA
ENSG00000198624.13,1164.908613,-0.815055669,0.272439232,-2.991697127,0.002774314,0.029226057,1.534229768,FALSE,CCDC69
ENSG00000244754.9,6307.654912,-0.637411063,0.213104468,-2.991073207,0.002779988,0.029273737,1.53352183,FALSE,N4BP2L2
ENSG00000157193.18,305.6561056,1.741683532,0.582554927,2.98973273,0.002792216,0.029390356,1.531795151,TRUE,LRP8
ENSG00000151500.15,725.5853452,-0.784672827,0.262469817,-2.989573569,0.002793672,0.029393532,1.531748227,FALSE,THYN1
ENSG00000135931.19,1538.166561,0.992221051,0.331934246,2.989209653,0.002797001,0.02941642,1.531410178,FALSE,ARMC9
ENSG00000232803.1,4.721112043,-5.624448453,1.881728085,-2.988980448,0.0027991,0.029426352,1.53126358,TRUE,SLCO4A1-AS1
ENSG00000082175.16,5554.947781,-2.433777434,0.814442801,-2.988273,0.002805588,0.029470241,1.530616307,TRUE,PGR
ENSG00000136114.17,457.9576064,-0.815973586,0.273053492,-2.988328695,0.002805077,0.029470241,1.530616307,FALSE,THSD1
ENSG00000188229.6,2861.345839,0.889006738,0.297513633,2.98812101,0.002806984,0.029472753,1.530579299,FALSE,TUBB4B
ENSG00000100908.14,111.8001205,0.867333872,0.290292932,2.987788458,0.00281004,0.029480545,1.530464491,FALSE,EMC9
ENSG00000120868.15,1470.277154,0.647847377,0.216823808,2.987897793,0.002809035,0.029480545,1.530464491,FALSE,APAF1
ENSG00000086232.13,4759.233021,0.726432089,0.24316832,2.987363199,0.002813952,0.029487923,1.530355818,FALSE,EIF2AK1
ENSG00000125744.12,239.2438403,-1.244146847,0.416466405,-2.987388255,0.002813721,0.029487923,1.530355818,TRUE,RTN2
ENSG00000162769.13,608.2823765,1.308221899,0.437922777,2.987334683,0.002814215,0.029487923,1.530355818,TRUE,FLVCR1
ENSG00000164897.14,501.2878012,1.241460156,0.415607477,2.987097742,0.002816397,0.029498658,1.53019774,TRUE,TMUB1
ENSG00000249242.8,935.2793411,-1.477004867,0.49466692,-2.985857368,0.002827845,0.029606399,1.528614409,TRUE,TMEM150C
ENSG00000066405.13,9.774092699,-6.683897672,2.238863206,-2.985397971,0.002832096,0.029638728,1.528140442,TRUE,CLDN18
ENSG00000111729.15,110.7057873,1.853544394,0.620947886,2.985024084,0.00283556,0.029662798,1.527787892,TRUE,CLEC4A
ENSG00000167333.13,418.7076022,-0.961735953,0.322290586,-2.984064681,0.002844466,0.029735046,1.52673139,FALSE,TRIM68
ENSG00000272320.1,12.13167162,-2.283943736,0.765389312,-2.984028781,0.0028448,0.029735046,1.52673139,TRUE,NA
ENSG00000092758.18,57.84368015,-1.728593423,0.579309986,-2.983883354,0.002846153,0.029736984,1.526703077,TRUE,COL9A3
ENSG00000198695.2,1507.801811,0.694386069,0.232751261,2.983382633,0.002850813,0.029773476,1.526170466,FALSE,MT-ND6
ENSG00000250961.2,14.11828601,-2.678580558,0.898058862,-2.982633623,0.002857799,0.029821984,1.525463472,TRUE,NA
ENSG00000281566.4,11.60875082,5.181732169,1.737286348,2.982658659,0.002857565,0.029821984,1.525463472,TRUE,NA
ENSG00000224189.8,386.2272948,1.943839945,0.651763266,2.982432496,0.002859677,0.02982937,1.525355925,TRUE,HAGLR
ENSG00000118276.12,217.351951,-0.965378967,0.323865805,-2.980799306,0.002874971,0.029922587,1.524000858,FALSE,B4GALT6
ENSG00000161638.11,3212.43824,0.960955029,0.322365968,2.98094441,0.00287361,0.029922587,1.524000858,FALSE,ITGA5
ENSG00000176383.9,19.71709111,3.219571825,1.080047501,2.980953913,0.00287352,0.029922587,1.524000858,TRUE,B3GNT4
ENSG00000187730.9,58.10690709,1.671512716,0.560773675,2.980726075,0.002875659,0.029922587,1.524000858,TRUE,GABRD
ENSG00000205482.11,45.06181201,-1.444803657,0.484672377,-2.980990306,0.002873179,0.029922587,1.524000858,TRUE,SPDYE18
ENSG00000291185.1,178.7300038,-1.574564723,0.528155971,-2.9812495,0.002870748,0.029922587,1.524000858,TRUE,LOC105375980
ENSG00000136928.7,23.64907367,4.274276374,1.434109365,2.980439623,0.00287835,0.029938362,1.52377197,TRUE,GABBR2
ENSG00000179915.25,148.3768772,-2.509699342,0.842277052,-2.97966012,0.002885684,0.030002398,1.522844031,TRUE,NRXN1
ENSG00000289433.1,19.11647048,-1.94616152,0.653202376,-2.979415862,0.002887985,0.030014082,1.522674931,TRUE,NA
ENSG00000173572.12,5.726597037,-5.913781157,1.985668126,-2.978232404,0.002899161,0.030117942,1.521174714,TRUE,NLRP13
ENSG00000231856.4,92.74333138,-1.151912406,0.386806299,-2.9780084,0.00290128,0.03012768,1.52103431,TRUE,NA
ENSG00000156508.19,291162.585,-0.753251834,0.253012029,-2.977138425,0.002909526,0.030201,1.519978683,FALSE,EEF1A1
ENSG00000167703.15,981.2388946,0.790859745,0.265712243,2.976376765,0.002916763,0.030263789,1.519076693,FALSE,SLC43A2
ENSG00000116521.12,1264.973994,1.073653871,0.360918981,2.974778072,0.002932006,0.030405384,1.51704951,TRUE,SCAMP3
ENSG00000253130.2,9.909842428,6.065622193,2.039073353,2.974695434,0.002932796,0.030405384,1.51704951,TRUE,LOC105379224
ENSG00000113810.16,2352.552207,1.087040343,0.365636877,2.973005216,0.002948994,0.030560888,1.514834027,TRUE,SMC4
ENSG00000143947.15,11433.5566,-0.819799147,0.275765989,-2.972807304,0.002950896,0.030568169,1.514730579,FALSE,RPS27A
ENSG00000237560.9,7.331768667,-4.150871406,1.396648603,-2.972022738,0.002958448,0.030633939,1.513797158,TRUE,LINC01497
ENSG00000119686.10,290.2033712,1.538413046,0.51775666,2.971305177,0.00296537,0.030680679,1.513135039,TRUE,FLVCR2
ENSG00000185164.15,4999.376154,1.620097233,0.545246069,2.971313918,0.002965285,0.030680679,1.513135039,TRUE,NOMO2
ENSG00000164597.15,3059.297977,0.84900957,0.285786762,2.97077991,0.002970446,0.030720726,1.512568526,FALSE,COG5
ENSG00000123338.13,2960.022818,1.396423435,0.470127308,2.970309129,0.002975002,0.030730434,1.512431312,TRUE,NCKAP1L
ENSG00000163382.13,1680.392175,0.995744088,0.335231595,2.970316943,0.002974926,0.030730434,1.512431312,FALSE,NAXE
ENSG00000164850.16,90.06904609,-1.272939582,0.428528746,-2.970488199,0.002973268,0.030730434,1.512431312,TRUE,GPER1
ENSG00000280038.1,71.58745488,-1.430386682,0.48167783,-2.969592106,0.002981954,0.030789763,1.511593656,TRUE,NA
ENSG00000188157.15,7591.054181,1.424369034,0.479680801,2.969410143,0.002983721,0.030795526,1.51151238,TRUE,AGRN
ENSG00000162882.15,167.4940553,-1.205151671,0.406241536,-2.966588999,0.003011232,0.031066892,1.507702189,TRUE,HAAO
ENSG00000142149.9,259.0211422,-1.247186886,0.420539493,-2.965683142,0.003020115,0.031145926,1.506598757,TRUE,HUNK
ENSG00000175482.9,398.2783329,1.031652373,0.347981252,2.964678031,0.003029999,0.031235217,1.505355477,TRUE,POLD4
ENSG00000134256.13,116.6524858,1.471274897,0.496391447,2.96394087,0.003037266,0.031274057,1.504815783,TRUE,CD101
ENSG00000141736.14,19512.50755,2.311020602,0.77972416,2.963895079,0.003037718,0.031274057,1.504815783,TRUE,ERBB2
ENSG00000269906.1,43.7714771,-1.438075814,0.485174785,-2.964036584,0.003036322,0.031274057,1.504815783,TRUE,NA
ENSG00000280362.1,22.96556789,-4.035607418,1.361633692,-2.96379815,0.003038675,0.031274057,1.504815783,TRUE,NA
ENSG00000136731.13,5621.095581,0.895426938,0.302146983,2.963547508,0.003041151,0.031274275,1.504812744,FALSE,UGGT1
ENSG00000227591.6,12.35085192,-2.994174175,1.010305428,-2.963632671,0.00304031,0.031274275,1.504812744,TRUE,HSD11B1-AS1
ENSG00000101349.17,66.50148687,-2.497791615,0.842958213,-2.963126259,0.003045316,0.031304476,1.504393568,TRUE,PAK5
ENSG00000174460.4,15.95916571,-2.045950301,0.690677721,-2.962235842,0.003054137,0.031382494,1.503312543,TRUE,ZCCHC12
ENSG00000289168.1,12.13798838,-6.040550893,2.03966743,-2.961537163,0.003061075,0.031441107,1.502502169,TRUE,LOC124904294
ENSG00000034510.6,13990.51118,1.154324305,0.389800917,2.961317576,0.003063259,0.031450858,1.502367505,TRUE,TMSB10
ENSG00000171793.17,807.2113991,1.185971995,0.400777588,2.959177433,0.003084614,0.031657362,1.49952528,TRUE,CTPS1
ENSG00000198547.10,7.030264395,-4.045768836,1.367582857,-2.958335443,0.003093053,0.031731191,1.498513625,TRUE,C20orf203
ENSG00000288694.2,15.14219415,-2.989614687,1.010653577,-2.958100338,0.003095413,0.031742625,1.498357168,TRUE,NA
ENSG00000178852.16,167.1991656,-1.121456908,0.379187826,-2.957523506,0.003101211,0.031789284,1.497719251,TRUE,EFCAB13
ENSG00000165730.16,146.3343322,-1.779634971,0.601761181,-2.957377491,0.00310268,0.031791555,1.497688224,TRUE,STOX1
ENSG00000259726.1,285.1708202,-0.959169865,0.324347837,-2.957226023,0.003104205,0.031794393,1.497649456,FALSE,NA
ENSG00000166295.9,2430.926282,-0.695230688,0.235118988,-2.956931275,0.003107174,0.031812015,1.497408818,FALSE,ANAPC16
ENSG00000172478.18,97.0035364,3.721554317,1.258890935,2.95621663,0.003114383,0.031873017,1.496576823,TRUE,MAB21L4
ENSG00000133805.16,583.5148791,1.100297351,0.372214859,2.956081214,0.00311575,0.031874214,1.496560518,TRUE,AMPD3
ENSG00000183072.10,15.84229885,5.123789091,1.733722946,2.955367872,0.003122964,0.031935193,1.495730462,TRUE,NKX2-5
ENSG00000146281.6,672.1785628,-1.397929166,0.473057369,-2.955094367,0.003125734,0.031937886,1.49569384,TRUE,PM20D2
ENSG00000227733.12,294.7171776,-1.557321561,0.526981503,-2.955173099,0.003124937,0.031937886,1.49569384,TRUE,LOC101927468
ENSG00000103066.13,628.6175274,0.993277174,0.336156376,2.954806883,0.003128648,0.031954847,1.495463261,FALSE,PLA2G15
ENSG00000162998.5,941.0783973,-1.528303308,0.517341867,-2.954145806,0.003135358,0.031999225,1.494860544,TRUE,FRZB
ENSG00000232973.14,194.5038987,-1.441911466,0.488099975,-2.954131408,0.003135505,0.031999225,1.494860544,TRUE,CYP1B1-AS1
ENSG00000168924.15,1586.088036,0.760673615,0.25752972,2.953731374,0.003139572,0.032027904,1.494471487,FALSE,LETM1
ENSG00000272143.2,34.84020311,-1.863574742,0.631026628,-2.953242637,0.003144547,0.032065822,1.493957622,TRUE,FGF14-AS2
ENSG00000254670.1,4.984978103,-4.703379468,1.59271373,-2.953060164,0.003146406,0.032071949,1.493874646,TRUE,NA
ENSG00000152785.8,20.67376377,-2.36293186,0.800212526,-2.952880369,0.003148239,0.032077803,1.493795382,TRUE,BMP3
ENSG00000157087.20,47.42663911,-2.809972207,0.951687041,-2.95262212,0.003150874,0.032091817,1.493605697,TRUE,ATP2B2
ENSG00000196549.13,4532.297315,-1.676331517,0.567809972,-2.952275585,0.003154413,0.032115021,1.493291787,TRUE,MME
ENSG00000279319.1,61.70303406,-1.453892211,0.492680886,-2.950981561,0.003167658,0.032236995,1.491645448,TRUE,NA
ENSG00000229689.5,9.925591126,4.313444149,1.461860839,2.950653053,0.003171029,0.032258415,1.491356972,TRUE,ANKRD33BP1
ENSG00000141367.14,25444.60984,1.067357091,0.361796125,2.95016176,0.003176076,0.032296865,1.490839633,TRUE,CLTC
ENSG00000242110.9,401.341372,0.944209786,0.320082716,2.949893069,0.003178839,0.032312071,1.490635209,FALSE,AMACR
ENSG00000198889.5,5.080943581,-5.742039821,1.947167397,-2.948919456,0.003188871,0.032401113,1.489440065,TRUE,DCAF12L1
ENSG00000163071.11,603.8691529,-1.754654656,0.595091824,-2.948544385,0.003192743,0.032427528,1.48908616,TRUE,SPATA18
ENSG00000129521.15,817.4274216,1.704194336,0.578023647,2.948312489,0.003195139,0.032438936,1.488933399,TRUE,EGLN3
ENSG00000108344.15,5772.994318,2.405406459,0.815990927,2.947834811,0.00320008,0.032450315,1.488781081,TRUE,PSMD3
ENSG00000152977.10,100.6832718,3.644172917,1.236219466,2.947836543,0.003200062,0.032450315,1.488781081,TRUE,ZIC1
ENSG00000168918.14,1615.169966,1.029293962,0.349141101,2.948074461,0.0031976,0.032450315,1.488781081,TRUE,INPP5D
ENSG00000290794.1,9.282068813,-5.620368876,1.906900013,-2.947385201,0.003204737,0.032484613,1.488322297,TRUE,SULT1C5P
ENSG00000256092.4,21.7799051,-2.403558051,0.815566183,-2.947103621,0.003207657,0.032501281,1.488099519,TRUE,SBNO1-AS1
ENSG00000171729.14,445.0471526,1.363119741,0.462565201,2.946870489,0.003210076,0.032512866,1.487944743,TRUE,TMEM51
ENSG00000160446.19,259.8164066,0.951526141,0.322920524,2.9466264,0.003212611,0.032525611,1.487774534,FALSE,ZDHHC12
ENSG00000160785.14,1383.063314,0.769874909,0.261302383,2.946298848,0.003216015,0.032536075,1.48763484,FALSE,SLC25A44
ENSG00000203876.10,21.62355882,-2.709759071,0.919721786,-2.946281269,0.003216198,0.032536075,1.48763484,TRUE,ADD3-AS1
ENSG00000168913.7,32.00629645,-2.245024836,0.762062136,-2.945986595,0.003219264,0.032554164,1.487393459,TRUE,ENHO
ENSG00000289532.2,41.6587713,-1.302385373,0.442499454,-2.943247412,0.003247887,0.032830589,1.483721328,TRUE,NA
ENSG00000123416.15,16573.98407,1.199598638,0.407733069,2.942117595,0.003259761,0.032937547,1.48230875,TRUE,TUBA1B
ENSG00000125246.16,207.6713021,-0.895011574,0.304229922,-2.941892004,0.003262137,0.032948486,1.482164539,FALSE,CLYBL
ENSG00000151572.18,26.13786636,-1.574177179,0.535229863,-2.941123594,0.00327024,0.032991105,1.481603136,TRUE,ANO4
ENSG00000159450.13,15.78493045,3.316674809,1.127618552,2.941309191,0.003268281,0.032991105,1.481603136,TRUE,TCHH
ENSG00000176194.18,98.07577664,-3.127361606,1.063316691,-2.941138452,0.003270083,0.032991105,1.481603136,TRUE,CIDEA
ENSG00000180543.5,1253.273328,-1.447535387,0.492260685,-2.940587034,0.00327591,0.033035221,1.481022784,TRUE,TSPYL5
ENSG00000276386.1,100.6645422,-2.521192308,0.857431384,-2.940401245,0.003277875,0.033041963,1.480934165,TRUE,NA
ENSG00000227496.3,52.12343076,2.47191686,0.840858676,2.939753054,0.003284739,0.033098066,1.480197377,TRUE,LOC102723834
ENSG00000211950.2,487.5014101,2.797784879,0.9517553,2.939605251,0.003286306,0.033100769,1.480161921,TRUE,IGHV1-24
ENSG00000120802.14,3246.893506,0.718136031,0.24431108,2.939432915,0.003288134,0.033102738,1.480136088,FALSE,TMPO
ENSG00000274752.1,10.06104506,3.471359979,1.181033993,2.939254923,0.003290023,0.033102738,1.480136088,TRUE,TRBV12-3
ENSG00000289357.1,14.6083821,2.686099122,0.913881751,2.939219564,0.003290399,0.033102738,1.480136088,TRUE,NA
ENSG00000169402.16,7.799130936,3.282495203,1.117225906,2.938076522,0.003302555,0.033211921,1.478706001,TRUE,RSPH10B
ENSG00000104522.16,1019.694076,1.083486287,0.368797528,2.937889236,0.003304551,0.033218881,1.478614998,TRUE,GFUS
ENSG00000253669.4,28.28521507,1.902428581,0.647711372,2.937154824,0.003312387,0.033284525,1.477757638,TRUE,NA
ENSG00000183598.4,199.2395916,2.548879572,0.867906501,2.936813551,0.003316034,0.033308039,1.47745093,TRUE,H3C13
ENSG00000172602.11,414.0396617,2.655946714,0.904479229,2.936437486,0.003320057,0.033324776,1.47723276,TRUE,RND1
ENSG00000187922.14,40.40481249,-1.48832973,0.506852938,-2.936413341,0.003320316,0.033324776,1.47723276,TRUE,LCN10
ENSG00000180096.13,179.1583159,1.274135176,0.434082931,2.935234457,0.003332957,0.033412177,1.47609522,TRUE,SEPTIN1
ENSG00000185031.6,39.50294962,-2.116621857,0.721093338,-2.935295259,0.003332304,0.033412177,1.47609522,TRUE,NA
ENSG00000284906.3,45.70577087,1.973803333,0.672435838,2.935303595,0.003332215,0.033412177,1.47609522,TRUE,NA
ENSG00000145649.8,155.916876,1.527373316,0.520382616,2.935096731,0.003334437,0.033413867,1.47607326,TRUE,GZMA
ENSG00000081277.13,885.3371411,-2.499035489,0.851705021,-2.934156108,0.003344559,0.033488962,1.475098311,TRUE,PKP1
ENSG00000156709.15,956.8410986,0.759227698,0.258752626,2.934183554,0.003344264,0.033488962,1.475098311,FALSE,AIFM1
ENSG00000135454.14,139.4394536,1.662832327,0.567182777,2.931739809,0.00337069,0.033724106,1.472059557,TRUE,B4GALNT1
